word,object,action,qualifier,structural,punctuation,alpha,numeric,alphanumeric,glyph,question,whitesapce,unknown,certainty,absoluteness,polarity,insult,formality,morality,hierarchy,scale,worth,plurality,necessity,temporality,quickness,nothingness,dynamism,continuity,artificiality,agency,abstractness,mysticism,affect,arousal,fear,hedonics,valence,mass,time,length,width,height,temperature,luminance,origin,destination,lateralism,verticality,precedence,dimensionality,containment,boundary,proximity,rotational,terrestrial,gaseousness,fluidity,ignition,safety,shelter,sustenance,gender,audibility,palatability,olfactibility,hue,saturation,color_value,transparency,strength,dexterity,intelligence,wisdom,constitution
again,1.5,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,1.5,-2.0,0.5,-2.0,-0.5,-1.5,-0.5,0.2,0.5,-1.5,1.5,-1.5,-2.0,-2.0,0.5,2.5,2.5,-1.5,0.5,0.5,0.0,-1.5,-2.0,1.5,-1.5,-1.5,0.0,1.5,0.5,0.5,0.0,0.2,0.5,0.5,1.5,-1.0,-0.5,-2.0,1.2,-2.0,0.5,1.5,0.5,0.0,0.5,0.5,0.0,-1.5,0.0,-0.5,-0.5,1.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.5,1.5,1.5,0.0
against,1.5,2.5,2.5,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,-2.5,2.5,-3.5,-2.5,-2.5,-2.5,1.5,0.8,-2.5,0.5,3.5,-2.5,-2.5,0.5,-2.5,-2.5,-2.5,1.5,1.5,1.5,-2.5,-2.5,2.5,-2.5,-2.5,0.5,0.2,0.5,1.5,0.5,0.5,0.5,0.8,0.5,-2.0,2.5,-2.5,2.5,3.5,3.5,2.5,0.2,0.8,0.5,0.5,0.5,-2.5,2.5,-2.5,-2.5,1.5,0.5,0.5,0.0,0.0,0.0,0.5,1.5,1.5,1.5,0.5,1.5
ago,1.2,0.2,1.2,3.5,0.5,1.5,0.0,0.0,0.0,0.0,0.2,0.5,-2.5,0.8,-2.0,0.0,-1.5,0.0,0.2,0.8,-2.0,0.2,-2.0,-3.5,-2.5,0.5,-2.5,-2.5,-2.5,0.2,0.8,0.2,0.0,0.0,0.2,0.0,-2.0,0.2,2.8,0.8,0.2,0.2,0.2,0.2,1.2,0.8,0.0,-2.0,-2.5,1.2,-2.5,0.8,1.5,0.2,0.2,0.2,0.2,0.0,-1.5,0.0,-0.5,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
ah,0.5,0.5,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,-0.5,0.2,-0.5,0.0,0.0,0.0,0.0,0.2,-0.5,0.0,-0.5,-0.5,-0.5,0.2,-0.5,-0.5,-0.5,0.2,0.2,0.0,0.5,-0.5,1.5,-0.5,-0.5,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,-0.5,-0.5,0.0,0.2,-0.5,0.2,0.2,0.0,0.2,0.2,0.2,0.2,-0.5,0.2,-0.5,0.0,1.5,0.5,0.5,0.0,0.0,0.0,0.2,0.0,0.5,0.2,0.5,0.0
ahead,1.5,1.5,2.5,2.5,0.0,2.5,0.0,0.2,0.5,0.0,0.2,0.5,2.5,1.2,3.5,0.5,0.5,0.5,1.5,1.5,2.5,0.5,2.5,3.5,3.5,0.2,3.5,3.5,1.5,1.5,1.5,0.2,0.0,0.0,0.2,0.0,0.0,0.2,2.5,1.5,1.5,2.8,0.2,0.2,0.8,2.8,4.0,3.5,3.8,2.5,2.5,1.5,2.8,0.2,0.2,0.2,0.2,0.2,2.5,0.2,0.0,-0.5,0.8,0.2,0.2,0.0,0.0,0.0,0.8,0.5,1.5,1.5,1.2,0.5
air,2.8,0.2,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.8,-0.5,0.0,0.0,0.0,0.1,2.5,-1.5,0.2,0.0,-0.5,-0.5,1.2,-2.0,0.5,-2.5,0.2,1.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1,1.2,1.2,1.2,2.5,1.2,0.2,0.2,-0.5,0.0,0.0,1.8,-2.0,0.8,1.8,0.2,0.2,3.8,0.8,1.2,-1.5,0.5,-1.5,0.0,2.8,0.2,2.5,0.0,0.0,0.0,3.8,1.2,0.5,0.2,0.2,1.8
all,3.5,0.5,3.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,4.0,0.0,0.0,0.0,0.0,0.5,1.5,-0.5,3.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,-0.5,0.5,-1.0,0.5,2.0,0.0,1.5,0.5,0.5,0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.2,1.5,1.5
almost,1.5,2.5,3.5,1.5,0.5,2.5,0.5,0.5,0.5,0.5,0.0,2.5,-1.5,1.5,-1.5,-0.5,-1.5,-0.5,0.8,1.5,-1.5,1.5,0.5,-1.5,-1.5,0.8,-1.5,-2.5,-1.5,1.8,2.5,1.2,-0.5,-0.5,2.5,-0.5,-0.5,0.8,1.2,1.5,1.5,1.2,1.2,1.5,0.8,2.5,-1.5,1.5,-1.5,1.8,-1.5,1.8,2.5,0.2,0.2,0.8,0.8,0.8,-1.5,1.8,-0.5,-0.5,1.5,1.2,1.8,0.0,0.0,0.0,1.5,1.5,2.5,1.8,1.5,1.2
alone,2.5,1.5,2.8,0.8,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.5,-2.5,2.5,-2.5,-1.5,-1.5,-1.5,0.6,1.2,-2.5,0.5,-2.5,-2.5,-2.5,1.5,-2.5,-2.5,-2.5,2.5,1.5,0.2,-2.5,-1.5,2.8,-2.5,-2.5,0.2,0.8,1.5,0.8,0.2,0.2,0.2,0.8,2.5,-2.0,-2.0,-2.5,2.8,-3.5,2.8,3.5,0.2,0.2,0.2,0.2,0.2,-2.5,1.8,-1.5,-1.5,0.8,0.2,0.2,0.0,0.0,0.0,0.2,0.5,0.5,1.2,1.2,0.5
along,1.5,1.5,2.5,2.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,0.5,0.0,0.5,0.0,0.8,1.2,0.5,1.2,0.0,0.5,0.5,0.2,0.5,3.5,0.0,0.8,0.5,0.2,0.0,0.0,0.5,0.0,0.0,0.2,1.2,3.5,2.5,1.2,0.2,0.5,0.2,2.5,0.0,0.0,2.5,1.2,0.5,1.2,2.5,0.2,1.2,0.8,1.2,0.2,0.0,0.8,0.0,0.0,1.2,0.2,0.2,0.0,0.0,0.0,0.5,1.2,1.5,1.2,1.2,1.2
alongside,1.5,0.5,2.5,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.5,0.0,0.8,1.2,-0.5,1.2,0.0,-0.5,0.0,0.2,-0.5,2.5,-0.5,0.5,0.5,0.2,0.0,0.0,0.5,0.0,0.0,0.2,0.2,1.5,1.5,0.8,0.2,0.5,0.2,0.8,-0.5,0.0,-0.5,1.5,2.5,1.5,3.5,0.2,0.5,0.2,0.5,0.2,-0.5,0.8,0.0,0.0,0.8,0.2,0.2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.5,0.5
already,1.5,2.5,2.8,2.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,2.5,2.5,2.5,0.0,-0.5,0.0,0.2,0.8,2.5,1.5,2.5,-2.5,2.5,0.2,-2.5,2.5,-0.5,1.5,0.8,0.2,0.0,0.0,0.8,0.5,0.0,0.2,2.5,0.8,0.5,0.5,0.2,0.5,0.8,2.8,2.5,0.5,2.5,1.2,2.5,0.8,2.5,0.2,0.2,0.8,0.8,0.2,0.0,0.8,0.2,-0.5,1.5,0.6,0.2,0.0,0.0,0.0,0.8,0.2,1.5,1.5,1.5,0.5
also,1.5,1.5,1.5,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.5,0.0,0.2,1.2,0.0,1.5,0.0,-0.5,0.0,0.5,0.0,-0.5,-0.5,0.5,1.5,0.5,0.0,0.0,0.5,0.0,0.0,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.5,0.5,-0.5,0.0,0.0,1.2,-0.5,0.5,1.5,0.2,0.5,0.5,0.5,0.2,0.0,0.5,0.0,0.0,1.2,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.5,1.5,0.5
although,1.5,1.5,1.5,3.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.5,-0.5,1.2,-0.5,0.0,0.5,0.0,0.2,0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.2,-0.5,-0.5,-0.5,0.5,1.2,0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.5,-0.5,-0.5,-0.5,1.2,-0.5,0.8,1.5,0.2,0.2,0.2,0.2,0.2,-0.5,0.2,-0.5,-0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.5,0.0,0.0,1.2,1.5,0.5
always,1.5,3.0,3.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,4.0,3.8,0.0,0.0,0.0,0.0,0.5,0.5,-0.5,0.5,4.0,0.0,0.0,0.0,-0.5,4.0,-0.5,3.5,0.8,1.5,0.0,0.0,0.5,0.0,0.0,0.0,2.8,0.5,0.5,0.5,0.2,0.5,0.8,2.5,0.0,0.0,0.0,2.8,-0.5,0.5,2.5,0.0,0.5,0.2,0.0,0.0,-0.5,0.5,0.0,-0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.0,1.5,2.5,2.8,1.5
am,1.0,2.0,1.0,1.5,0.5,2.0,0.0,0.5,0.0,0.5,0.0,0.5,2.5,1.5,1.0,0.0,0.5,0.0,1.2,1.2,0.0,0.5,1.0,0.0,0.0,0.5,-0.5,1.5,-0.5,1.5,1.5,0.5,0.0,0.0,1.2,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.5,1.2,0.0,0.5,0.0,1.2,1.0,0.5,1.5,0.2,0.5,1.5,0.5,0.5,-0.5,0.5,0.0,-0.5,1.5,0.5,0.5,0.0,0.0,0.0,0.5,1.5,1.5,1.2,1.2,1.5
american,3.5,0.0,2.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.0,1.8,1.2,0.5,0.2,0.0,0.0,0.0,0.0,-0.5,-1.5,0.5,1.8,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.5,0.5,0.5,0.2,0.5,0.5,0.8,0.0,0.0,0.0,1.8,-1.5,0.8,2.8,0.0,1.2,0.2,0.1,0.2,0.0,0.8,0.0,-0.5,0.8,0.8,0.0,0.0,0.0,0.0,0.2,0.5,1.2,1.2,0.2,1.2
amid,1.5,0.5,2.5,3.8,0.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,-0.5,1.5,-0.5,0.0,-0.5,0.0,0.2,1.5,-0.5,0.8,-0.5,-0.5,-0.5,0.5,-2.5,-2.5,-2.5,0.5,1.2,0.5,0.0,-0.5,0.5,-0.5,0.0,0.2,1.2,0.8,1.5,0.8,0.5,0.5,1.8,1.2,-2.0,-2.0,-2.0,2.5,-2.5,2.5,2.8,0.5,1.5,2.5,2.5,0.5,-0.5,0.8,-0.5,-0.5,0.8,0.2,1.2,0.0,0.0,0.0,2.5,0.5,0.5,0.5,2.5,0.5
among,1.5,0.5,2.5,3.5,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.5,-1.5,2.5,-0.5,-0.5,-0.5,-0.5,1.5,1.5,-0.5,2.5,-0.5,-1.5,-1.5,0.5,-1.5,-2.5,-1.5,0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,1.5,2.5,-1.5,-0.5,-1.5,1.5,-2.0,2.5,2.5,0.2,0.5,0.5,1.5,0.2,-1.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.5,1.5,0.5
amongst,1.5,0.5,1.5,3.8,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,-0.5,2.5,-0.5,-0.5,-1.5,0.0,0.2,1.2,-0.5,1.5,-0.5,-0.5,-0.5,0.2,-2.5,-2.5,-2.5,0.2,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.5,-0.5,-0.5,-0.5,1.2,-2.5,1.5,2.5,0.2,0.2,0.2,0.2,0.2,-0.5,0.2,-0.5,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.5,2.5,0.0
an,2.5,0.5,1.0,2.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.5,1.5,-0.5,-0.5,0.0,-0.5,0.2,0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-1.5,0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,-1.5,0.5,0.5,0.2,0.5,0.5,0.5,0.2,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0
and,0.5,0.5,0.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.2,0.5,0.0,1.5,0.0,0.0,0.0,0.2,0.0,0.0,-0.5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.2,0.2,0.0,0.0,0.0,0.5,-0.5,0.5,1.5,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0
ani,2.5,0.5,3.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,-2.5,2.5,-1.5,-1.5,-2.5,-0.5,0.2,0.5,-1.5,0.5,-2.0,-2.0,-2.0,0.5,-2.5,-2.5,-2.5,2.5,0.5,1.5,-2.5,-2.5,1.5,-2.5,-2.5,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-2.0,-2.0,-2.0,0.5,-2.0,0.5,2.8,0.5,0.5,0.5,0.5,0.5,-1.5,0.5,-0.5,-1.5,1.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,2.5,0.5,1.2,1.5
another,2.5,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,0.0,0.0,-0.5,0.0,0.2,0.8,-0.5,2.5,0.0,-1.5,0.0,0.0,-0.5,-2.0,-1.5,0.5,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.2,0.5,0.0,0.0,0.0,0.5,-1.5,0.2,0.8,0.0,0.2,0.2,0.2,0.2,-0.5,0.5,0.0,0.0,0.8,0.5,0.5,0.0,0.0,0.0,0.2,0.5,0.5,0.5,0.5,0.0
any,2.5,1.0,2.5,2.5,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.5,0.0,-0.5,-1.5,0.0,0.2,0.5,0.0,1.5,0.0,0.0,0.0,0.5,0.0,-1.5,-1.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.0,1.2,1.5,0.5,1.5,0.2,0.5,0.5,0.5,0.2,-1.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.2,0.5,0.5
anye,1.5,0.0,2.8,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.8,-2.5,0.5,-2.5,-2.5,-2.5,-2.5,0.2,0.5,-2.5,0.5,-2.5,-2.5,-2.5,0.5,-2.5,-2.5,-2.5,0.5,0.5,0.5,-2.5,-2.5,2.8,-2.5,-2.5,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,-2.0,-2.0,-2.5,0.2,-2.5,0.5,0.5,0.0,0.5,0.2,0.5,0.2,-2.5,0.0,-2.5,-2.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
anything,2.5,1.5,0.5,0.8,0.0,0.5,0.0,0.0,0.0,1.5,0.0,2.5,-2.5,2.5,-1.5,-0.5,-2.5,0.0,0.2,0.5,-1.5,0.5,0.5,-1.5,0.0,0.5,-1.5,-2.5,-2.5,0.5,0.5,0.5,-0.5,-0.5,0.5,-1.5,0.0,0.5,0.2,0.5,0.5,0.5,0.2,0.5,0.2,0.2,-0.5,0.0,-1.5,0.5,-2.0,0.2,0.5,0.0,0.5,0.2,0.5,0.2,-1.5,0.2,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.2,0.5,0.0,0.5,0.5,0.5
apparently,1.5,1.5,2.5,1.5,0.0,2.0,0.0,0.5,0.5,1.5,0.1,2.5,-2.5,0.8,1.5,0.0,-1.5,0.0,0.2,0.5,0.5,0.2,0.0,-1.5,-1.5,0.2,1.5,2.5,1.5,0.8,1.5,1.2,0.0,0.0,0.5,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,1.2,0.5,0.2,0.8,0.0,0.2,0.2,0.2,0.1,-1.5,0.2,-0.5,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.5,1.5,1.5,0.2
are,1.5,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,-0.5,0.0,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,-1.5,0.5,0.5,0.2,0.5,0.5,0.5,0.2,-0.5,0.5,0.0,0.0,0.8,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.2,0.5,0.0
area,3.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,2.5,-0.5,0.0,0.5,0.0,0.2,3.5,-0.5,0.2,0.0,-2.0,0.0,0.8,-2.5,-2.0,-2.0,0.2,2.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.5,2.8,0.2,0.5,1.2,0.8,1.2,-0.5,0.0,-0.5,2.8,-2.0,2.5,2.8,0.2,2.5,0.5,0.5,0.2,-0.5,1.8,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.0,1.8,1.2,0.5,1.2,1.2,1.2
around,1.5,0.5,2.5,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,-0.5,1.5,0.0,-0.5,0.0,0.0,0.5,2.5,-0.5,1.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,-0.5,0.0,0.5,-0.5,0.0,0.5,2.5,2.5,2.5,1.5,0.5,0.5,0.8,2.5,0.0,0.0,-0.5,1.8,-1.5,1.5,2.8,2.5,0.8,1.5,1.5,0.2,-0.5,0.8,-0.5,-0.5,1.2,0.2,1.5,0.0,0.0,0.0,0.5,0.5,1.5,1.2,1.5,0.5
as,1.5,2.0,2.5,2.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.5,-0.5,-0.5,0.5,-0.5,0.8,1.2,-0.5,0.2,-0.5,-0.5,-0.5,0.2,-0.5,-0.5,-0.5,1.2,0.5,0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5,0.2,0.5,0.5,0.5,0.5,1.2,0.2,1.2,-0.5,-0.5,-0.5,0.8,-0.5,0.8,1.5,0.2,0.5,0.5,0.5,0.2,-0.5,0.5,-0.5,-0.5,1.2,0.8,0.5,0.0,0.0,0.0,0.5,1.5,1.5,1.2,1.2,0.5
